movie,movieLabel,narrative_location,narrative_locationLabel,coordinates
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55080299,Namaste England,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55590067,How to Build a Girl,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q55762009,I Am Mother,http://www.wikidata.org/entity/Q2,Earth,Point(0.0 0.0)
http://www.wikidata.org/entity/Q55762009,I Am Mother,http://www.wikidata.org/entity/Q2,Earth,Point(0.0 0.0)
http://www.wikidata.org/entity/Q83987738,The Last Faust,http://www.wikidata.org/entity/Q2,Earth,Point(0.0 0.0)
http://www.wikidata.org/entity/Q21528200,A United Kingdom,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q21528200,A United Kingdom,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q21528200,A United Kingdom,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q27590075,I Can Quit Whenever I Want: Masterclass,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q27590075,I Can Quit Whenever I Want: Masterclass,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q27964540,Wolf Warrior 2,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q27964540,Wolf Warrior 2,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q29832195,Gabriel and the Mountain,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30590974,Operation Red Sea,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30597828,Entebbe,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30597828,Entebbe,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30597828,Entebbe,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30597828,Entebbe,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q30597828,Entebbe,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q39070764,Revolt,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q39070764,Revolt,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q39070764,Revolt,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q48747119,Black Snake,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q55831470,Q55831470,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q61450776,The Last Victims,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q61827164,4 latas,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q61827164,4 latas,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q62646012,The Burial of Kojo,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q18811634,Silence,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q18811634,Silence,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q21010856,Hacksaw Ridge,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q64768714,Un rescate de huevitos,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q67171435,Thank You For The Rain,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q89411396,Elephant,http://www.wikidata.org/entity/Q15,Africa,Point(17.0 1.0)
http://www.wikidata.org/entity/Q18200409,A Monster Calls,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q18200409,A Monster Calls,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q20649318,The Girl with All the Gifts,http://www.wikidata.org/entity/Q21,England,Point(-1.0 53.0)
http://www.wikidata.org/entity/Q7162528,Pendulum Drift,http://www.wikidata.org/entity/Q22,Scotland,Point(-5.0 57.0)
http://www.wikidata.org/entity/Q23767815,The Outsider,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q27826501,Pacific Rim Uprising,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q27826501,Pacific Rim Uprising,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q27826501,Pacific Rim Uprising,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q27826501,Pacific Rim Uprising,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q27959482,Sekigahara,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q28213068,Blade of the Immortal,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q28373586,Honnōji Hotel,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q28657291,Mr. Long,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q28657291,Mr. Long,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q28841928,The Third Murder,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q29825890,Outrage: Final Chapter,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q29825890,Outrage: Final Chapter,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q30601864,"Fireworks, Should We See It from the Side or the Bottom?",http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q30606456,The Disastrous Life of Saiki K.,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
http://www.wikidata.org/entity/Q30608371,Manhunt,http://www.wikidata.org/entity/Q17,Japan,Point(136.0 35.0)
